Name,Test #,Loss,Mean Absolute Error (MAE),Mean Absolute Percentange Error (MAPE) %
Linear Untrained,1,0.020745519548654556,0.10226942598819733,100.0
Linear Untrained,2,0.011987289413809776,0.07070928812026978,100.0
Linear Untrained,3,0.014139487408101559,0.09993085265159607,100.0
Linear Untrained,4,0.4476386308670044,0.5682976245880127,100.0
Linear Untrained,5,1.2259736061096191,0.9152188301086426,100.0
Linear Untrained,6,0.4059281349182129,0.5148686766624451,100.0
Linear Untrained,7,0.3959747552871704,0.5041362643241882,100.0
Linear Untrained,8,0.9310714602470398,0.8406743407249451,100.0
Linear Untrained,9,1.0235118865966797,0.9299015998840332,100.0
Linear Untrained,10,1.1343666315078735,0.849784791469574,100.0
Linear Untrained,11,2.509230852127075,1.398537039756775,100.0
Linear Untrained,12,1.4549250602722168,1.0890107154846191,100.0
Linear Trained,1,0.005713508464396,0.06519222259521484,103.9740982055664
Linear Trained,2,0.0036921154242008924,0.05399946868419647,59478.9375
Linear Trained,3,0.008835582062602043,0.0610058568418026,54.07632827758789
Linear Trained,4,0.24068181216716766,0.41860654950141907,259.6951599121094
Linear Trained,5,0.39223650097846985,0.49265313148498535,141.03712463378906
Linear Trained,6,0.07381393015384674,0.23329168558120728,369.355224609375
Linear Trained,7,0.21705584228038788,0.34744781255722046,608.6484985351562
Linear Trained,8,0.35343289375305176,0.477807879447937,418.665771484375
Linear Trained,9,0.42489659786224365,0.5407413244247437,126.34220123291016
Linear Trained,10,0.676650881767273,0.6187189221382141,111.14815521240234
Linear Trained,11,1.7487637996673584,1.0519391298294067,84.8648681640625
Linear Trained,12,0.888127863407135,0.7694047093391418,1021.42333984375
Dense Untrained,1,0.020745517686009407,0.10226942598819733,100.0
Dense Untrained,2,0.0119872922077775,0.07070928812026978,100.0
Dense Untrained,3,0.014139487408101559,0.09993083775043488,100.0
Dense Untrained,4,0.4476386606693268,0.5682976841926575,100.0
Dense Untrained,5,1.2259737253189087,0.9152187705039978,100.0
Dense Untrained,6,0.4059281349182129,0.5148686170578003,100.0
Dense Untrained,7,0.395974725484848,0.5041362643241882,100.0
Dense Untrained,8,0.9310715794563293,0.8406743407249451,100.0
Dense Untrained,9,1.0235120058059692,0.9299015998840332,100.0
Dense Untrained,10,1.134366512298584,0.849784791469574,100.0
Dense Untrained,11,2.5092310905456543,1.3985369205474854,100.0
Dense Untrained,12,1.4549251794815063,1.0890107154846191,100.0
Dense Trained,1,0.13208283483982086,0.28867053985595703,533.9840087890625
Dense Trained,2,0.16045181453227997,0.3239503502845764,331557.53125
Dense Trained,3,0.1624229997396469,0.3249575197696686,477.1542663574219
Dense Trained,4,0.2568134367465973,0.36928385496139526,230.77658081054688
Dense Trained,5,1.8377779722213745,0.9841794967651367,296.3717346191406
Dense Trained,6,0.19411104917526245,0.35417312383651733,436.50189208984375
Dense Trained,7,0.1310378909111023,0.2883571982383728,1460.3428955078125
Dense Trained,8,0.573513925075531,0.5728436708450317,804.365478515625
Dense Trained,9,0.6745464205741882,0.6191427111625671,199.79660034179688
Dense Trained,10,1.4352567195892334,0.8724824786186218,255.14398193359375
Dense Trained,11,2.798391103744507,1.238356590270996,153.2282257080078
Dense Trained,12,0.9504579305648804,0.7636262774467468,963.9903564453125
Conv Untrained,1,0.020745519548654556,0.10226942598819733,100.0
Conv Untrained,2,0.011987290345132351,0.07070928066968918,100.0
Conv Untrained,3,0.014139486476778984,0.09993083775043488,100.0
Conv Untrained,4,0.4476386308670044,0.5682976245880127,100.0
Conv Untrained,5,1.2259738445281982,0.9152187705039978,100.0
Conv Untrained,6,0.4059281349182129,0.5148686766624451,100.0
Conv Untrained,7,0.3959747552871704,0.5041362643241882,100.0
Conv Untrained,8,0.9310715198516846,0.8406745195388794,100.0
Conv Untrained,9,1.0235117673873901,0.9299015402793884,100.0
Conv Untrained,10,1.134366512298584,0.849784791469574,100.0
Conv Untrained,11,2.5092310905456543,1.3985368013381958,100.0
Conv Untrained,12,1.4549251794815063,1.0890107154846191,100.0
Conv Trained,1,0.1970771849155426,0.3524407148361206,641.2847290039062
Conv Trained,2,0.24085552990436554,0.40669965744018555,446917.75
Conv Trained,3,0.22507625818252563,0.39543190598487854,581.71630859375
Conv Trained,4,0.5799450278282166,0.580161452293396,465.37457275390625
Conv Trained,5,1.8996047973632812,0.9817248582839966,271.8582458496094
Conv Trained,6,0.44831928610801697,0.5550267100334167,461.6257629394531
Conv Trained,7,0.18189798295497894,0.34453538060188293,1379.648193359375
Conv Trained,8,0.48296457529067993,0.529151439666748,794.8246459960938
Conv Trained,9,0.421685129404068,0.5009030103683472,169.34117126464844
Conv Trained,10,1.3416621685028076,0.8451082110404968,232.83511352539062
Conv Trained,11,3.2111215591430664,1.402182936668396,164.6935577392578
Conv Trained,12,0.9270648956298828,0.7587582468986511,880.645263671875
LSTM Untrained,1,0.020745517686009407,0.10226942598819733,100.0
LSTM Untrained,2,0.011987291276454926,0.07070928812026978,100.0
LSTM Untrained,3,0.014139487408101559,0.09993083775043488,100.0
LSTM Untrained,4,0.4476386308670044,0.5682976245880127,100.0
LSTM Untrained,5,1.2259738445281982,0.9152187705039978,100.0
LSTM Untrained,6,0.4059281349182129,0.5148686170578003,100.0
LSTM Untrained,7,0.3959747552871704,0.5041362643241882,100.0
LSTM Untrained,8,0.9310715794563293,0.8406744003295898,100.0
LSTM Untrained,9,1.0235117673873901,0.9299015402793884,100.0
LSTM Untrained,10,1.134366512298584,0.8497848510742188,100.0
LSTM Untrained,11,2.509230852127075,1.3985369205474854,100.0
LSTM Untrained,12,1.4549250602722168,1.0890107154846191,100.0
LSTM Trained,1,0.39979109168052673,0.5099250674247742,1258.4232177734375
LSTM Trained,2,0.26076510548591614,0.399227499961853,430427.09375
LSTM Trained,3,0.28736916184425354,0.45914480090141296,751.72998046875
LSTM Trained,4,1.0706382989883423,0.814769446849823,606.6424560546875
LSTM Trained,5,0.9964200258255005,0.804794192314148,212.3541717529297
LSTM Trained,6,0.5760228037834167,0.5634049773216248,771.9659423828125
LSTM Trained,7,0.5567941069602966,0.5709967017173767,1851.313720703125
LSTM Trained,8,0.9243202805519104,0.7393340468406677,1236.6134033203125
LSTM Trained,9,0.9718948006629944,0.7411075234413147,228.4823455810547
LSTM Trained,10,1.1050667762756348,0.7996951341629028,264.6060791015625
LSTM Trained,11,2.58807635307312,1.1866497993469238,163.023193359375
LSTM Trained,12,0.9717905521392822,0.7995836138725281,1346.1673583984375
Feedback Untrained,1,0.020722733810544014,0.10291595011949539,102.3789291381836
Feedback Untrained,2,0.012014690786600113,0.07159198075532913,300.4112243652344
Feedback Untrained,3,0.014094841666519642,0.09977517277002335,99.83041381835938
Feedback Untrained,4,0.4499296247959137,0.5708037614822388,104.72806549072266
Feedback Untrained,5,1.2379928827285767,0.9169524312019348,100.61030578613281
Feedback Untrained,6,0.40178850293159485,0.5146472454071045,105.61649322509766
Feedback Untrained,7,0.40046873688697815,0.5077450275421143,103.28156280517578
Feedback Untrained,8,0.9375946521759033,0.8425111770629883,124.88874053955078
Feedback Untrained,9,1.0296522378921509,0.9314870834350586,100.70792388916016
Feedback Untrained,10,1.1383838653564453,0.8527544140815735,105.12805938720703
Feedback Untrained,11,2.514680862426758,1.4006518125534058,100.8499755859375
Feedback Untrained,12,1.4530584812164307,1.0875581502914429,111.00408935546875
Feedback Trained,1,0.038476940244436264,0.1761392205953598,263.1489562988281
Feedback Trained,2,0.04658270254731178,0.20086611807346344,126589.4296875
Feedback Trained,3,0.16242465376853943,0.3126284182071686,342.4217224121094
Feedback Trained,4,0.35217854380607605,0.49030205607414246,428.10162353515625
Feedback Trained,5,0.7863023281097412,0.6828147172927856,119.44667053222656
Feedback Trained,6,0.46726706624031067,0.5355098843574524,623.1071166992188
Feedback Trained,7,0.7058033347129822,0.6207175850868225,548.9021606445312
Feedback Trained,8,0.47960448265075684,0.5494816899299622,973.6326904296875
Feedback Trained,9,0.46711114048957825,0.5462650060653687,163.0773468017578
Feedback Trained,10,1.1183433532714844,0.9100139141082764,285.5730895996094
Feedback Trained,11,2.2162601947784424,1.2519093751907349,133.42837524414062
Feedback Trained,12,1.6283035278320312,1.1159179210662842,966.4068603515625
